X,Y,Z
-1.143792,3.431129,-52.409
-1.189361,3.641552,-52.409
-1.21498,3.891552,-52.409
-1.29595,4.191552,-52.409
-1.351263,4.491552,-52.409
-1.314626,4.741552,-52.409
-1.300711,4.941552,-52.409
-1.299932,5.541552,-52.409
-1.303702,5.841552,-52.409
-1.313872,5.991552,-52.409
-1.371202,6.191552,-52.409
-1.470921,6.391552,-52.409
-1.578702, 6.524724999999999,-52.409
-1.778702, 6.701192000000001,-52.409
-1.878702, 6.763357000000001,-52.409
-2.078702, 6.852200000000001,-52.409
-2.278702, 6.893255999999999,-52.409
-2.428702,6.900686,-52.409
-2.828702,6.956197,-52.409
-3.028702,6.952715,-52.409
-3.278702,6.905385,-52.409
-3.378702, 6.858728000000001,-52.409
-3.472192,6.791551,-52.409
-3.578702,6.689232,-52.409
-3.686492,6.541551,-52.409
-3.796392,6.341552,-52.409
-3.895671,6.091552,-52.409
-3.948345,5.891552,-52.409
-3.95611,5.791552,-52.409
-3.954432,5.191552,-52.409
-3.956632,4.241552,-52.409
-3.949784,3.741552,-52.409
-3.941397,3.641552,-52.409
-3.89342,3.441552,-52.409
-3.834436,3.241552,-52.409
-3.738475, 2.9915510000000003,-52.409
-3.643967,2.791551,-52.409
-3.548562,2.641551,-52.409
-3.439074, 2.4915510000000003,-52.409
-3.328702,2.36794,-52.409
-3.044015,2.091551,-52.409
-2.828702,1.867201,-52.409
-2.678702,1.73267,-52.409
-2.528702, 1.6411989999999999,-52.409
-2.178702,1.473885,-52.409
-2.028702,1.42801,-52.409
-1.928702,1.416551,-52.409
-1.578702,1.428125,-52.409
-1.428702,1.469493,-52.409
-1.328702, 1.5222120000000001,-52.409
-1.228702,1.606829,-52.409
-1.110744,1.741551,-52.409
-1.020369,1.941551,-52.409
-0.9972919,2.191551,-52.409
-0.9991247,2.355237,-52.409
-1.132017, 2.4900130000000003,-52.409
-1.192794,2.595282,-52.409
-1.238533, 2.7623729999999997,-52.409
-1.234547,3.113284,-52.409
-1.578702, 0.5750740999999999,-52.109
-1.978702,0.7571175,-52.109
-2.178702, 0.8305865000000001,-52.109
-2.278702, 0.9044681000000001,-52.109
-2.478702,1.031167,-52.109
-2.828702,1.283943,-52.109
-3.043125, 1.4915509999999998,-52.109
-3.487869,2.041551,-52.109
-3.641566, 2.2415510000000003,-52.109
-3.74455,2.391551,-52.109
-3.891849,2.641551,-52.109
-3.990027,2.841551,-52.109
-4.084571,3.091551,-52.109
-4.143664, 3.2915520000000003,-52.109
-4.195427,3.591552,-52.109
-4.211381,3.941552,-52.109
-4.229349,4.091552,-52.109
-4.239054,4.291552,-52.109
-4.238272,4.791552,-52.109
-4.196869,5.191552,-52.109
-4.150539,5.391552,-52.109
-4.098511,5.541552,-52.109
-3.981827,5.791552,-52.109
-3.890755,5.941552,-52.109
