X,Y,Z
-0.08824027, 4.501780999999999,-55.409
0.11063490000000001,4.546073,-55.409
0.2255683,4.603922,-55.409
0.3497034, 4.700495999999999,-55.409
0.5058702,4.841934,-55.409
0.5608597,4.920467,-55.409
0.6353977000000001, 5.067334000000001,-55.409
0.7630975,5.347702,-55.409
0.7797454,5.532343,-55.409
0.7965676,5.902472,-55.409
0.7906183,6.307193,-55.409
0.7587533,6.513503,-55.409
0.693423, 6.692995000000001,-55.409
0.5716319000000001, 6.885102999999999,-55.409
0.4396883,7.023222,-55.409
0.2433395, 7.152133000000001,-55.409
0.1532499,7.184923,-55.409
-0.02615741,7.224767,-55.409
-0.3105841,7.262309,-55.409
-0.5412141,7.254225,-55.409
-0.6798593, 7.210062000000001,-55.409
-0.8547576,7.170495,-55.409
-0.971105,7.115249,-55.409
-1.049638,7.060259,-55.409
-1.172419,6.913934,-55.409
-1.268221,6.738811,-55.409
-1.34705,6.535875,-55.409
-1.385042, 6.410397000000001,-55.409
-1.408127,6.13814,-55.409
-1.408127,5.622615,-55.409
-1.378347,5.376994,-55.409
-1.312408,5.198695,-55.409
-1.153733,4.905111,-55.409
-1.01533,4.737165,-55.409
-0.8348209,4.61237,-55.409
-0.6617044,4.531644,-55.409
-0.5672896,4.514997,-55.409
-0.5170439,4.402566,-55.109
-0.5800439,4.422377,-55.109
-0.6170439,4.435048,-55.109
-0.7170439, 4.4741100000000005,-55.109
-0.7920439, 4.5223770000000005,-55.109
-0.817044,4.54269,-55.109
-0.917044,4.617527,-55.109
-0.9218946,4.622377,-55.109
-1.017044,4.713449,-55.109
-1.025972,4.722377,-55.109
-1.095265,4.822377,-55.109
-1.117044,4.849477,-55.109
-1.164088,4.922377,-55.109
-1.214372, 5.0223770000000005,-55.109
-1.217044, 5.025710999999999,-55.109
-1.26256,5.122377,-55.109
-1.306205,5.222377,-55.109
-1.317044,5.238866,-55.109
-1.355151,5.322377,-55.109
-1.374736,5.422377,-55.109
-1.385592, 5.5223770000000005,-55.109
-1.403193,5.622377,-55.109
-1.416653,5.722377,-55.109
-1.417044,5.727377,-55.109
-1.423978,5.822377,-55.109
-1.425972,5.922377,-55.109
-1.427255, 6.0223770000000005,-55.109
-1.425317,6.122377,-55.109
-1.417044, 6.1942520000000005,-55.109
-1.413635,6.222377,-55.109
-1.394317,6.322377,-55.109
-1.376242,6.422377,-55.109
-1.348862, 6.5223770000000005,-55.109
-1.317044,6.575032,-55.109
-1.287486,6.622377,-55.109
-1.23834,6.722377,-55.109
-1.217044,6.747745,-55.109
-1.163055,6.822377,-55.109
-1.117044,6.874802,-55.109
-1.067673,6.922377,-55.109
-1.017044,6.966367,-55.109
-0.9337106, 7.0223770000000005,-55.109
-0.917044, 7.0362290000000005,-55.109
-0.817044,7.070914,-55.109
-0.7170439,7.087762,-55.109
-0.6170439, 7.1128029999999995,-55.109
-0.5889189,7.122377,-55.109
-0.5170439,7.143674,-55.109
-0.4170439,7.149101,-55.109
-0.3170439,7.148249,-55.109
-0.2170439,7.135642,-55.109
-0.157953,7.122377,-55.109
-0.1170439, 7.1128029999999995,-55.109
-0.01704394,7.094006,-55.109
0.08295606,7.077352,-55.109
0.1829561, 7.0558000000000005,-55.109
0.2408264, 7.0223770000000005,-55.109
0.2829561,6.995769,-55.109
0.3829561,6.940119,-55.109
0.40302910000000003,6.922377,-55.109
0.4829561,6.856013,-55.109
0.5170052,6.822377,-55.109
0.5829561,6.744479,-55.109
0.6022599,6.722377,-55.109
0.6583999,6.622377,-55.109
0.6829561,6.582854,-55.109
0.7162021000000001, 6.5223770000000005,-55.109
0.7422584,6.422377,-55.109
0.7696908,6.322377,-55.109
0.7829561,6.269675,-55.109
0.795025,6.222377,-55.109
0.8079560000000001,6.122377,-55.109
0.8125140999999999, 6.0223770000000005,-55.109
0.817905,5.922377,-55.109
0.8165498,5.822377,-55.109
0.8132839000000001,5.722377,-55.109
0.8066088,5.622377,-55.109
0.7937952, 5.5223770000000005,-55.109
0.7829561,5.485472,-55.109
0.7657483,5.422377,-55.109
0.7412108,5.322377,-55.109
0.7109221,5.222377,-55.109
0.6829561,5.179334,-55.109
0.6490182,5.122377,-55.109
0.6162021, 5.0223770000000005,-55.109
0.5829561,4.973153,-55.109
0.5483,4.922377,-55.109
0.4829561,4.823577,-55.109
0.4817933,4.822377,-55.109
0.3925305,4.722377,-55.109
0.3829561,4.712803,-55.109
0.2944144,4.622377,-55.109
0.2829561,4.610919,-55.109
0.1829561,4.525786,-55.109
0.17878940000000001, 4.5223770000000005,-55.109
0.08295606,4.473325,-55.109
-0.01704394, 4.4436729999999995,-55.109
-0.07360131,4.422377,-55.109
-0.1170439,4.405169,-55.109
-0.2170439,4.39482,-55.109
-0.3170439,4.390926,-55.109
-0.4170439,4.392432,-55.109
-0.5170439,4.290559,-54.809
-0.6162106,4.322377,-54.809
-0.6170439,4.322768,-54.809
-0.7170439,4.373424,-54.809
-0.7815267,4.422377,-54.809
-0.817044,4.453589,-54.809
-0.8854175, 4.5223770000000005,-54.809
-0.917044,4.55439,-54.809
-0.9757281,4.622377,-54.809
-1.017044,4.673351,-54.809
-1.054236,4.722377,-54.809
-1.117044, 4.8212139999999994,-54.809
-1.118207,4.822377,-54.809
-1.168258,4.922377,-54.809
-1.212909, 5.0223770000000005,-54.809
-1.217044,5.028167,-54.809
-1.258288,5.122377,-54.809
-1.293391,5.222377,-54.809
-1.317044,5.263523,-54.809
-1.34775,5.322377,-54.809
-1.372239,5.422377,-54.809
-1.384149, 5.5223770000000005,-54.809
-1.406833,5.622377,-54.809
-1.417044,5.662655,-54.809
-1.431473,5.722377,-54.809
-1.442044,5.822377,-54.809
-1.444187,5.922377,-54.809
-1.445415, 6.0223770000000005,-54.809
-1.443768,6.122377,-54.809
-1.437356,6.222377,-54.809
-1.417044,6.2946,-54.809
-1.408115,6.322377,-54.809
-1.378263,6.422377,-54.809
-1.33834, 6.5223770000000005,-54.809
-1.317044,6.548317,-54.809
-1.269915,6.622377,-54.809
-1.217044, 6.690586999999999,-54.809
-1.186571,6.722377,-54.809
-1.117044,6.79109,-54.809
-1.079891,6.822377,-54.809
-1.017044,6.869268,-54.809
-0.9271317,6.922377,-54.809
-0.917044,6.93065,-54.809
-0.817044,6.968963,-54.809
-0.7170439,6.983299,-54.809
-0.6170439,6.997377,-54.809
-0.5170439,7.016821,-54.809
-0.4337106, 7.0223770000000005,-54.809
-0.4170439,7.02354,-54.809
-0.4003773, 7.0223770000000005,-54.809
-0.3170439,7.016821,-54.809
-0.2170439, 7.0035870000000005,-54.809
-0.1170439,6.989131,-54.809
-0.01704394,6.978781,-54.809
0.08295606, 6.966406999999999,-54.809
0.1829561,6.932588,-54.809
0.1973125,6.922377,-54.809
0.2829561,6.878018,-54.809
0.3815924,6.822377,-54.809
0.3829561,6.821214,-54.809
0.4829561, 6.747065000000001,-54.809
0.5079561,6.722377,-54.809
0.5829561, 6.640085999999999,-54.809
0.5996227000000001,6.622377,-54.809
0.6583999, 6.5223770000000005,-54.809
0.6829561, 6.4859729999999995,-54.809
0.719206,6.422377,-54.809
0.7545853,6.322377,-54.809
0.7829561, 6.242217999999999,-54.809
0.7918846,6.222377,-54.809
0.8144076,6.122377,-54.809
0.8207609, 6.0223770000000005,-54.809
0.8277613,5.922377,-54.809
0.8277613,5.822377,-54.809
0.8265401000000001,5.722377,-54.809
0.8210629,5.622377,-54.809
0.8079560000000001, 5.5223770000000005,-54.809
0.7829561,5.454917,-54.809
0.7691047,5.422377,-54.809
0.7392061,5.322377,-54.809
0.7070632,5.222377,-54.809
0.6829561,5.187463,-54.809
0.645764,5.122377,-54.809
0.6125141000000001, 5.0223770000000005,-54.809
0.5829561,4.980251,-54.809
0.5452638000000001,4.922377,-54.809
0.4829561,4.823597,-54.809
0.4817933,4.822377,-54.809
0.41051289999999996,4.722377,-54.809
0.3829561,4.688222,-54.809
0.33348520000000004,4.622377,-54.809
0.2829561,4.565868,-54.809
0.24301040000000002, 4.5223770000000005,-54.809
0.1829561,4.461327,-54.809
0.1287253,4.422377,-54.809
0.08295606,4.389685,-54.809
-0.01704394,4.350748,-54.809
-0.0834913,4.322377,-54.809
-0.1170439, 4.3057110000000005,-54.809
-0.2170439,4.288099,-54.809
-0.3170439,4.282522,-54.809
-0.4170439,4.282522,-54.809
-0.6170439,4.201081,-54.509
-0.650217,4.222377,-54.509
-0.7170439, 4.2614220000000005,-54.509
-0.7980141,4.322377,-54.509
-0.817044, 4.3403350000000005,-54.509
-0.8847765,4.422377,-54.509
-0.917044,4.462595,-54.509
-0.9580887, 4.5223770000000005,-54.509
-1.017044,4.614956,-54.509
-1.023978,4.622377,-54.509
-1.07747,4.722377,-54.509
-1.117044,4.791386,-54.509
-1.139771,4.822377,-54.509
-1.172307,4.922377,-54.509
-1.210794, 5.0223770000000005,-54.509
-1.217044,5.032261,-54.509
-1.254849,5.122377,-54.509
-1.28345,5.222377,-54.509
-1.317044,5.288194,-54.509
-1.337851,5.322377,-54.509
-1.368122,5.422377,-54.509
-1.382429, 5.5223770000000005,-54.509
-1.410794,5.622377,-54.509
-1.417044,5.638415,-54.509
-1.442916,5.722377,-54.509
-1.454236,5.822377,-54.509
-1.45633,5.922377,-54.509
-1.457742, 6.0223770000000005,-54.509
-1.456039,6.122377,-54.509
-1.451993,6.222377,-54.509
-1.425972,6.322377,-54.509
-1.417044,6.337083,-54.509
-1.380242,6.422377,-54.509
-1.323978, 6.5223770000000005,-54.509
-1.317044,6.529311,-54.509
-1.246989,6.622377,-54.509
-1.217044,6.652655,-54.509
-1.128037,6.722377,-54.509
-1.117044, 6.7332160000000005,-54.509
-1.017044,6.78293,-54.509
-0.9429873,6.822377,-54.509
-0.917044,6.840119,-54.509
-0.817044,6.869758,-54.509
-0.7170439,6.88099,-54.509
-0.6170439,6.888439,-54.509
-0.5170439,6.895653,-54.509
-0.4170439, 6.8973770000000005,-54.509
-0.3170439, 6.8905590000000005,-54.509
-0.2170439, 6.884386999999999,-54.509
-0.1170439, 6.875826000000001,-54.509
-0.01704394,6.86772,-54.509
0.08295606,6.854558,-54.509
0.1585811,6.822377,-54.509
0.1829561, 6.809112000000001,-54.509
0.2829561,6.77287,-54.509
0.3787505,6.722377,-54.509
0.3829561, 6.718967999999999,-54.509
0.4829561, 6.654680999999999,-54.509
0.5169797,6.622377,-54.509
0.5829561, 6.553122999999999,-54.509
0.6109221, 6.5223770000000005,-54.509
0.6802843000000001,6.422377,-54.509
0.6829561, 6.419643000000001,-54.509
0.7433929,6.322377,-54.509
0.7829561,6.230804,-54.509
0.7885116,6.222377,-54.509
0.8198373,6.122377,-54.509
0.8272792000000001, 6.0223770000000005,-54.509
0.8360810000000001,5.922377,-54.509
0.8363033,5.822377,-54.509
0.8358606,5.722377,-54.509
0.8307019,5.622377,-54.509
0.8182351999999999, 5.5223770000000005,-54.509
0.7829561,5.438642,-54.509
0.7733816,5.422377,-54.509
0.7372742999999999,5.322377,-54.509
0.7027674,5.222377,-54.509
0.6829561, 5.195221999999999,-54.509
0.6430976,5.122377,-54.509
0.6083947000000001, 5.0223770000000005,-54.509
0.5829561,4.987577,-54.509
0.5424088,4.922377,-54.509
0.4829561, 4.8236170000000005,-54.509
0.4817933,4.822377,-54.509
0.4224298,4.722377,-54.509
0.3829561,4.648716,-54.509
0.3641663,4.622377,-54.509
0.2996227, 4.5223770000000005,-54.509
0.2829561, 4.5030589999999995,-54.509
0.22475930000000002,4.422377,-54.509
0.1829561,4.378911,-54.509
0.11572629999999999,4.322377,-54.509
0.08295606,4.294015,-54.509
-0.01704394,4.249934,-54.509
-0.07343928,4.222377,-54.509
-0.1170439,4.19965,-54.509
-0.2170439, 4.1803870000000005,-54.509
-0.3170439, 4.1759830000000004,-54.509
-0.4170439,4.174792,-54.509
-0.5170439,4.180182,-54.509
0.09167666, 6.738701000000001,-54.209
0.3463031, 6.654971000000001,-54.209
0.5117252,6.559464,-54.209
0.6225791,6.451156,-54.209
0.7307553999999999,6.320847,-54.209
0.8075863,6.178958,-54.209
0.8533917000000001,5.950407,-54.209
0.8554845999999999,5.696262,-54.209
0.8367438, 5.5539119999999995,-54.209
0.7144539,5.270456,-54.209
0.5617514,4.9495,-54.209
0.4684224,4.802472,-54.209
0.3620761,4.535878,-54.209
0.2407435,4.341139,-54.209
0.1287645,4.22916,-54.209
0.006043492,4.144712,-54.209
-0.17345,4.079382,-54.209
-0.3502011, 4.064652000000001,-54.209
-0.5412141, 4.064652000000001,-54.209
-0.7207076,4.129983,-54.209
-0.7992408,4.184972,-54.209
-0.9220216,4.331297,-54.209
-1.12709,4.770518,-54.209
-1.183176,4.920553,-54.209
-1.2405,5.118729,-54.209
-1.360229,5.419775,-54.209
-1.458688,5.777507,-54.209
-1.467044,6.020306,-54.209
-1.458688,6.248375,-54.209
-1.393358, 6.427868999999999,-54.209
-1.226389, 6.6183819999999995,-54.209
-1.147856,6.67337,-54.209
-0.9121018,6.757774,-54.209
-0.7589872, 6.787637999999999,-54.209
-0.4457076, 6.791245000000001,-54.209
-0.5170439,3.877185,-53.909
-0.5953773,3.922377,-53.909
-0.6170439, 3.9359189999999997,-53.909
-0.7170439,3.994417,-53.909
-0.7485254, 4.0223770000000005,-53.909
