X,Y,Z
0.4271357,-4.144019,-48.509
0.5747896,-4.010822,-48.509
0.6596644,-3.968384,-48.509
0.7441403,-3.871066,-48.509
0.8343705,-3.818972,-48.509
0.9369766,-3.80088,-48.509
1.158821,-3.805437,-48.509
1.256726,-3.841072,-48.509
1.3665340000000001,-3.95088,-48.509
1.406726,-4.10088,-48.509
1.3961729999999999,-4.144612,-48.509
1.448973,-4.246404,-48.509
1.475502,-4.451183,-48.509
1.037598,-4.81015,-48.509
0.793457,-4.941895,-48.509
0.5493164,-4.938174,-48.509
0.06103516,-4.95948,-48.509
-0.1831055,-4.989336,-48.509
-0.4272461,-4.993828,-48.509
-0.6713867,-4.972126,-48.509
-0.9155273,-4.904812,-48.509
-1.159668,-4.869079,-48.509
-1.403809,-4.842517,-48.509
-1.89209,-4.753536,-48.509
-2.13623,-4.690151,-48.509
-2.328427,-4.649931,-48.509
-2.334202,-4.519223,-48.509
-2.289259,-4.351492,-48.509
-2.245681,-4.276013,-48.509
-2.165028,-4.187308,-48.509
-2.136143,-4.12023,-48.509
-2.05633,-4.053259,-48.509
-1.958424,-4.017624,-48.509
-1.625558,-4.014208,-48.509
-1.52492,-4.041174,-48.509
-1.411944,-4.097942,-48.509
-1.090362,-4.102499,-48.509
-0.9604985,-4.140379,-48.509
0.793457,-5.106439,-48.209
1.037598,-5.019137,-48.209
1.35934,-4.716309,-48.209
1.525879,-4.574141,-48.209
1.696528,-4.472168,-48.209
1.77002,-4.415008,-48.209
2.01416,-4.143873,-48.209
2.105804,-4.025153,-48.209
2.113545,-3.981251,-48.209
2.0833909999999998,-3.810241,-48.209
1.996567,-3.659857,-48.209
1.8635449999999998,-3.548238,-48.209
1.6680700000000002,-3.465938,-48.209
1.547391,-3.462522,-48.209
1.446752,-3.489488,-48.209
1.338663,-3.54401,-48.209
1.25885,-3.610981,-48.209
1.19217,-3.695755,-48.209
0.9220735,-3.928655,-48.209
0.8064201000000001,-4.042421,-48.209
0.6790841999999999,-4.119181,-48.209
0.35926990000000003,-4.225989,-48.209
0.015561839999999999,-4.310128,-48.209
-0.1143015,-4.272249,-48.209
-0.203647,-4.267691,-48.209
-0.3524363,-4.226395,-48.209
-0.599152,-4.225254,-48.209
-0.7084252,-4.187374,-48.209
-0.9297002,-4.182816,-48.209
-1.072754,-4.106151,-48.209
-1.504787,-4.103809,-48.209
-1.566753,-4.088317,-48.209
-1.671455,-4.010822,-48.209
-1.76936,-3.975187,-48.209
-1.915987,-3.975187,-48.209
-2.013892,-4.010822,-48.209
-2.093706,-4.077793,-48.209
-2.13257,-4.145144,-48.209
-2.255901,-4.286367,-48.209
-2.315292,-4.449543,-48.209
-2.315292,-4.527308,-48.209
-2.13623,-4.584702,-48.209
-1.89209,-4.626837,-48.209
-1.647949,-4.690955,-48.209
-1.403809,-4.783088,-48.209
-1.159668,-4.823355,-48.209
-0.4272461,-4.855313,-48.209
-0.1831055,-4.918385,-48.209
0.06103516,-4.99707,-48.209
0.3051758,-5.066563,-48.209
-1.732239,-4.184343,-47.909
-1.439518,-4.188692,-47.909
-1.217674,-4.141698,-47.909
-1.000831,-4.144694,-47.909
-0.8453945,-4.188692,-47.909
-0.3774388,-4.18508,-47.909
0.142107,-4.186389,-47.909
0.3201577,-4.115746,-47.909
0.3638862,-4.041748,-47.909
0.5352903,-3.978751,-47.909
0.5837059,-3.932483,-47.909
0.7849581999999999,-3.873539,-47.909
0.9702024,-3.723913,-47.909
1.023895,-3.592531,-47.909
1.193365,-3.355309,-47.909
1.363466,-3.156673,-47.909
1.487994,-3.095101,-47.909
1.556365,-3.081426,-47.909
