X,Y,Z
-1.123809,-4.353364,-50.909
-0.7142134,-4.355555,-50.909
-0.4368664,-4.299035,-50.909
-0.25281,-4.233079,-50.909
-0.1835961,-4.229412,-50.909
-0.1391246,-4.19234,-50.909
0.031049470000000003,-4.131359,-50.909
0.06570695,-4.102309,-50.909
0.2343658,-3.852481,-50.909
0.5359751,-3.507703,-50.909
0.6816732,-3.326211,-50.909
0.7869372,-3.24113,-50.909
0.9164384999999999,-3.061922,-50.909
1.009747,-2.885408,-50.909
1.0357049999999999,-2.86112,-50.909
1.053897,-2.67776,-50.909
1.260132,-2.482404,-50.909
1.279354,-2.313346,-50.909
1.3674979999999999,-2.135389,-50.909
1.299847,-2.021917,-50.909
1.232672,-2.045141,-50.909
1.1831749999999999,-2.032049,-50.909
1.067316,-2.10231,-50.909
0.9782071999999999,-2.133118,-50.909
0.7598416,-2.239456,-50.909
0.6752213,-2.310482,-50.909
0.520512,-2.391698,-50.909
0.4336894,-2.546399,-50.909
0.3132348,-2.702393,-50.909
0.1713509,-2.839187,-50.909
0.01106176,-2.953864,-50.909
-0.1642163,-3.04398,-50.909
-0.3186266,-3.096658,-50.909
-0.3939544,-3.270476,-50.909
-0.6244169,-3.410048,-50.909
-0.7732114,-3.435148,-50.909
-0.9151316,-3.377237,-50.909
-1.088721,-3.375076,-50.909
-1.271027,-3.434363,-50.909
-1.521023,-3.445384,-50.909
-1.521442,-3.384295,-50.909
-1.576574,-3.348034,-50.909
-1.629063,-3.261944,-50.909
-1.730805,-3.251009,-50.909
-1.82563,-3.18902,-50.909
-1.853198,-3.145126,-50.909
-1.946429,-3.094233,-50.909
-2.120331,-2.881557,-50.909
-2.234964,-2.858661,-50.909
-2.308319,-2.668468,-50.909
-2.370986,-2.642266,-50.909
-2.27103,-2.987381,-50.909
-2.262353,-3.047894,-50.909
-2.358837,-3.023708,-50.909
-2.388395,-3.087221,-50.909
-2.383923,-3.166527,-50.909
-2.332458,-3.191345,-50.909
-2.270582,-3.341286,-50.909
-2.227156,-3.491337,-50.909
-2.153362,-3.630401,-50.909
-2.088213,-3.714486,-50.909
-1.89599,-4.047788,-50.909
-1.884994,-4.086813,-50.909
-1.739688,-4.224214,-50.909
-1.535857,-4.235604,-50.909
-1.380694,-4.359834,-50.609
-0.7751471,-4.369243,-50.609
-0.3919989,-4.357897,-50.609
-0.3259209,-4.307992,-50.609
-0.1462171,-4.237529,-50.609
-0.08071415,-4.23845,-50.609
0.1456639,-4.115249,-50.609
0.3205384,-3.928601,-50.609
0.40265320000000004,-3.872342,-50.609
0.5387825,-3.707849,-50.609
0.6393355,-3.628477,-50.609
0.6833943,-3.569974,-50.609
0.9290039,-3.341237,-50.609
1.082695,-3.167232,-50.609
1.2583410000000002,-2.999271,-50.609
1.338679,-2.837197,-50.609
1.4067479999999999,-2.776907,-50.609
1.456938,-2.669864,-50.609
1.509182,-2.641553,-50.609
1.679077,-2.398635,-50.609
1.751963,-2.349981,-50.609
1.9649370000000002,-1.943219,-50.609
2.119902,-1.500415,-50.609
2.150346,-1.362672,-50.609
2.14885,-1.195662,-50.609
2.1322520000000003,-1.11625,-50.609
2.0636579999999998,-1.055796,-50.609
1.980265,-1.037797,-50.609
1.81007,-1.139624,-50.609
1.6677890000000002,-1.330897,-50.609
1.5259930000000002,-1.553742,-50.609
1.5048679999999999,-1.552964,-50.609
1.320205,-1.652077,-50.609
1.038087,-1.898251,-50.609
0.9823818,-1.918388,-50.609
0.6652421000000001,-2.295489,-50.609
0.5571913000000001,-2.394157,-50.609
0.5064946,-2.482994,-50.609
0.302701,-2.600654,-50.609
