X,Y,Z
-1.169316,11.1955,-57.809
-1.239724, 11.216800000000001,-57.809
-1.339724, 11.238710000000001,-57.809
-1.439724,11.26842,-57.809
-1.479289,11.2955,-57.809
-1.539724, 11.344100000000001,-57.809
-1.583474,11.3955,-57.809
-1.612084,11.4955,-57.809
-1.639724,11.56613,-57.809
-1.652395,11.5955,-57.809
-1.671905,11.6955,-57.809
-1.682974,11.7955,-57.809
-1.699283,11.8955,-57.809
-1.70613,11.9955,-57.809
-1.674339,12.0955,-57.809
-1.639724,12.18094,-57.809
-1.631451,12.1955,-57.809
-1.576609,12.2955,-57.809
-1.539724,12.33497,-57.809
-1.473378,12.3955,-57.809
-1.439724,12.4255,-57.809
-1.339724, 12.480500000000001,-57.809
-1.320656,12.4955,-57.809
-1.239724,12.54473,-57.809
-1.139724,12.58466,-57.809
-1.108724,12.5955,-57.809
-1.039724, 12.616800000000001,-57.809
-0.9397242,12.63061,-57.809
-0.8397242, 12.614799999999999,-57.809
-0.7842696,12.5955,-57.809
-0.7397242,12.57938,-57.809
-0.6397242,12.53314,-57.809
-0.5926019,12.4955,-57.809
-0.5397242,12.45444,-57.809
-0.4674639,12.3955,-57.809
-0.4397242,12.37019,-57.809
-0.3664113,12.2955,-57.809
-0.3397242,12.26725,-57.809
-0.2821721,12.1955,-57.809
-0.2397242,12.1303,-57.809
-0.2142856,12.0955,-57.809
-0.1948213,11.9955,-57.809
-0.2037946,11.8955,-57.809
-0.2189167,11.7955,-57.809
-0.2378011,11.6955,-57.809
-0.2397242,11.68994,-57.809
-0.2654818,11.5955,-57.809
-0.2891592,11.4955,-57.809
-0.3133909,11.3955,-57.809
-0.3397242,11.36258,-57.809
-0.4178795,11.2955,-57.809
-0.4397242,11.2805,-57.809
-0.5397242,11.24237,-57.809
-0.6397242,11.20935,-57.809
-0.6703212,11.1955,-57.809
-0.7397242,11.16878,-57.809
-0.8397242,11.15323,-57.809
-0.9397242, 11.148810000000001,-57.809
-1.039724,11.16133,-57.809
-0.9397242,10.97094,-57.509
-1.034042,10.9955,-57.509
-1.039724,10.99742,-57.509
-1.139724,11.03039,-57.509
-1.239724, 11.046859999999999,-57.509
-1.339724,11.06713,-57.509
-1.400568,11.0955,-57.509
-1.439724,11.11581,-57.509
-1.539724,11.14779,-57.509
-1.619248,11.1955,-57.509
-1.639724,11.21312,-57.509
-1.699904,11.2955,-57.509
-1.721982,11.3955,-57.509
-1.717468,11.4955,-57.509
-1.714286,11.5955,-57.509
-1.704118,11.6955,-57.509
-1.684195,11.7955,-57.509
-1.672619,11.8955,-57.509
-1.654154,11.9955,-57.509
-1.639724,12.01522,-57.509
-1.597248,12.0955,-57.509
-1.565596,12.1955,-57.509
-1.539724,12.22458,-57.509
-1.476643,12.2955,-57.509
-1.439724,12.32928,-57.509
-1.339724,12.37139,-57.509
-1.307063,12.3955,-57.509
-1.239724,12.43684,-57.509
-1.139724,12.45475,-57.509
-1.039724,12.45299,-57.509
-0.9397242,12.45158,-57.509
-0.8397242,12.44631,-57.509
-0.7397242,12.44343,-57.509
-0.6397242,12.39817,-57.509
-0.6363588,12.3955,-57.509
-0.5397242,12.345,-57.509
-0.4740575,12.2955,-57.509
-0.4397242, 12.265730000000001,-57.509
-0.369493,12.1955,-57.509
-0.3397242, 12.161620000000001,-57.509
-0.2909378,12.0955,-57.509
-0.2438595,11.9955,-57.509
-0.2397242,11.98531,-57.509
-0.2121674,11.8955,-57.509
-0.2018529,11.7955,-57.509
-0.1814742,11.6955,-57.509
-0.1724269,11.5955,-57.509
-0.1610205,11.4955,-57.509
-0.1517932,11.3955,-57.509
-0.1631055,11.2955,-57.509
-0.2397242,11.21358,-57.509
-0.2621051,11.1955,-57.509
-0.3397242,11.14727,-57.509
-0.4397242,11.10876,-57.509
-0.4629385,11.0955,-57.509
-0.5397242, 11.059470000000001,-57.509
-0.6397242,11.036,-57.509
-0.7397242, 11.008759999999999,-57.509
-0.7812136,10.9955,-57.509
-0.8397242,10.97776,-57.509
0.03262499,11.2711,-57.209
-0.08312114,11.60709,-57.209
-0.2655932,11.96544,-57.209
-0.4152063,12.16483,-57.209
-0.515475,12.24003,-57.209
-0.7461092,12.33115,-57.209
-0.874171,12.29277,-57.209
-0.9982371, 12.301179999999999,-57.209
-1.138451, 12.353959999999999,-57.209
-1.268452,12.32687,-57.209
-1.381687,12.25385,-57.209
-1.482218,12.16284,-57.209
-1.560406, 12.052290000000001,-57.209
-1.625021,11.9344,-57.209
-1.673534, 11.808209999999999,-57.209
-1.751887, 11.679559999999999,-57.209
-1.858421, 11.353449999999999,-57.209
-1.837136,11.18593,-57.209
-1.730909,11.05531,-57.209
-1.408964,10.93113,-57.209
-1.135665, 10.854049999999999,-57.209
-1.006818,10.80719,-57.209
-0.8704658,10.80685,-57.209
-0.7356283, 10.825239999999999,-57.209
-0.3328237,10.96391,-57.209
-0.192846,11.04222,-57.209
-0.02011935,11.11873,-57.209
-0.9397242,10.67938,-56.909
-1.00594,10.6955,-56.909
-1.039724,10.70443,-56.909
-1.139724,10.73313,-56.909
-1.239724,10.75545,-56.909
-1.327926,10.7955,-56.909
-1.339724,10.80311,-56.909
-1.439724, 10.849450000000001,-56.909
-1.50545,10.8955,-56.909
-1.539724, 10.923829999999999,-56.909
-1.623709,10.9955,-56.909
-1.639724,11.00994,-56.909
-1.72651,11.0955,-56.909
-1.739724,11.11922,-56.909
-1.771542,11.1955,-56.909
-1.778017,11.2955,-56.909
-1.754724,11.3955,-56.909
-1.739724,11.41713,-56.909
-1.697714,11.4955,-56.909
-1.659536,11.5955,-56.909
-1.639724,11.62219,-56.909
-1.590576,11.6955,-56.909
-1.539724,11.76653,-56.909
-1.515552,11.7955,-56.909
-1.457809,11.8955,-56.909
-1.439724, 11.917480000000001,-56.909
-1.372187,11.9955,-56.909
-1.339724,12.02748,-56.909
-1.239724, 12.094280000000001,-56.909
-1.237451,12.0955,-56.909
-1.139724,12.13581,-56.909
-1.039724,12.12737,-56.909
-0.9397242,12.11961,-56.909
-0.8397242,12.12378,-56.909
-0.7397242,12.12611,-56.909
-0.6810032,12.0955,-56.909
-0.6397242,12.07183,-56.909
-0.5397242,12.02692,-56.909
-0.504228,11.9955,-56.909
-0.4397242,11.93917,-56.909
-0.397737,11.8955,-56.909
-0.3397242,11.82132,-56.909
-0.3194016,11.7955,-56.909
-0.2499355,11.6955,-56.909
-0.2397242,11.68331,-56.909
-0.1852971,11.5955,-56.909
-0.1397242,11.52714,-56.909
-0.115617,11.4955,-56.909
-0.07331794,11.3955,-56.909
-0.03972419,11.31871,-56.909
-0.02645888,11.2955,-56.909
-0.01561705,11.1955,-56.909
-0.03972419,11.1415,-56.909
-0.06368252,11.0955,-56.909
-0.1397242,11.0027,-56.909
-0.1476681,10.9955,-56.909
-0.2397242,10.91794,-56.909
-0.2608353,10.8955,-56.909
-0.3397242,10.82723,-56.909
-0.4125183,10.7955,-56.909
-0.4397242,10.78283,-56.909
-0.5397242, 10.749410000000001,-56.909
-0.6397242,10.72467,-56.909
-0.7397242, 10.701049999999999,-56.909
-0.7639177,10.6955,-56.909
-0.8397242,10.67994,-56.909
-1.039724,10.5705,-56.609
-1.107185,10.5955,-56.609
-1.139724, 10.609350000000001,-56.609
-1.239724,10.64042,-56.609
-1.339724,10.66963,-56.609
-1.381313,10.6955,-56.609
-1.439724,10.73061,-56.609
-1.539724,10.79065,-56.609
-1.544883,10.7955,-56.609
-1.609916,10.8955,-56.609
-1.639724,10.96388,-56.609
-1.654865,10.9955,-56.609
-1.68526,11.0955,-56.609
-1.699148,11.1955,-56.609
-1.687237,11.2955,-56.609
-1.645974,11.3955,-56.609
-1.639724,11.40302,-56.609
-1.582307,11.4955,-56.609
-1.539724,11.54717,-56.609
-1.496049,11.5955,-56.609
-1.439724, 11.659099999999999,-56.609
-1.402828,11.6955,-56.609
-1.339724,11.75732,-56.609
